token,Accepting State
float literal,2
intLiteral,4
intLiteral,5
intLiteral,6
intLiteral,7
intLiteral,8
addOp,12
subOp,13
multOp,16
divOp,17
comparator,18
comparator,19
comment,23
comment,40
logicalNot,24
stringLiteral,27
assignOp,11
incrOp,14
incrOp,15
semicolon,39
rightBrace,38
leftBrace,37
rightParen,36
leftParen,35
comma,43
identifier,33
charLiteral,32
whitespace,41
int,42
bool,48
identifier,44
char,52
case,55
const,59
continue,64
default,71
do,72
double,76
else,80
extern,85
float,90
long,94
register,102
for,104
if,105
goto,109
short,114
sizeof,119
static,124
signed,128
struct,132
return,138
_Packed,144
switch,149
typedef,162
union,158
void,170
unsigned,166
volatile,175
while,180
